,movie,year,imdb,votes,metascore
465,Equilibrium,(2002),7.5,296939,33
466,The Transporter,(2002),6.8,270382,51
467,Insomnia,(2002),7.2,254558,78
468,The Wire,(2002–2008),9.3,249009,NaN
469,Panic Room,(2002),6.8,238209,65
470,Phone Booth,(2002),7.1,237722,56
471,Red Dragon,(2002),7.2,232783,60
472,Resident Evil,(2002),6.7,232738,33
473,8 Mile,(2002),7.1,229441,77
474,Road to Perdition,(2002),7.7,228965,72
475,Firefly,(2002–2003),9.0,227447,NaN
476,Chicago,(2002),7.2,201853,82
477,Die Another Day,(2002),6.1,192506,56
478,A Walk to Remember,(2002),7.4,188846,35
479,Blade II,(2002),6.7,187388,52
480,Austin Powers in Goldmember,(2002),6.2,184955,62
481,Ying xiong,(2002),7.9,166486,85
482,xXx,(2002),5.9,166462,48
483,Adaptation.,(2002),7.7,165639,83
484,25th Hour,(2002),7.7,163026,67
485,About a Boy,(2002),7.1,162002,75
486,Lilo & Stitch,(2002),7.2,151489,73
487,Bowling for Columbine,(2002),8.0,135094,72
488,Punch-Drunk Love,(2002),7.3,133429,78
489,Mr. Deeds,(2002),5.8,127680,24
490,The Scorpion King,(2002),5.5,123461,45
491,We Were Soldiers,(2002),7.2,121709,65
492,The Count of Monte Cristo,(2002),7.8,120839,61
493,Reign of Fire,(2002),6.2,120117,39
494,About Schmidt,(2002),7.2,117579,85
495,The Hours,(2002),7.6,117058,80
496,John Q,(2002),7.1,115753,30
497,My Big Fat Greek Wedding,(2002),6.6,113973,62
498,The Time Machine,(2002),5.9,113330,42
499,Mou gaan dou,(2002),8.1,111173,75
500,The Lord of the Rings: The Two Towers,(2002),8.7,1359908,87
501,Catch Me If You Can,(2002),8.1,725048,75
502,Cidade de Deus,(2002),8.6,648700,79
503,The Pianist,(2002),8.5,648514,85
504,Spider-Man,(2002),7.3,643786,73
505,Star Wars: Episode II - Attack of the Clones,(2002),6.6,577874,54
506,Harry Potter and the Chamber of Secrets,(2002),7.4,496392,63
507,The Bourne Identity,(2002),7.9,476970,68
508,Minority Report,(2002),7.6,471752,80
509,Ice Age,(2002),7.5,404821,60
510,Gangs of New York,(2002),7.6,373200,72
511,28 Days Later...,(2002),7.6,347085,73
512,Signs,(2002),6.7,318187,59
513,Men in Black II,(2002),6.1,316908,49
514,The Ring,(2002),7.1,299330,57
515,Equilibrium,(2002),7.5,296939,33
516,The Transporter,(2002),6.8,270382,51
517,Insomnia,(2002),7.2,254558,78
518,The Wire,(2002–2008),9.3,249009,NaN
519,Panic Room,(2002),6.8,238209,65
520,Phone Booth,(2002),7.1,237722,56
521,Red Dragon,(2002),7.2,232783,60
522,Resident Evil,(2002),6.7,232738,33
523,8 Mile,(2002),7.1,229441,77
524,Road to Perdition,(2002),7.7,228965,72
525,Firefly,(2002–2003),9.0,227447,NaN
526,Chicago,(2002),7.2,201853,82
527,Die Another Day,(2002),6.1,192506,56
528,A Walk to Remember,(2002),7.4,188846,35
529,Blade II,(2002),6.7,187388,52
530,Austin Powers in Goldmember,(2002),6.2,184955,62
531,Ying xiong,(2002),7.9,166486,85
532,xXx,(2002),5.9,166464,48
533,Adaptation.,(2002),7.7,165639,83
534,25th Hour,(2002),7.7,163026,67
535,About a Boy,(2002),7.1,162002,75
536,Lilo & Stitch,(2002),7.2,151489,73
537,Bowling for Columbine,(2002),8.0,135094,72
538,Punch-Drunk Love,(2002),7.3,133428,78
539,Mr. Deeds,(2002),5.8,127680,24
540,The Scorpion King,(2002),5.5,123461,45
541,We Were Soldiers,(2002),7.2,121709,65
542,The Count of Monte Cristo,(2002),7.8,120839,61
543,Reign of Fire,(2002),6.2,120117,39
544,About Schmidt,(2002),7.2,117579,85
545,The Hours,(2002),7.6,117058,80
546,John Q,(2002),7.1,115753,30
547,My Big Fat Greek Wedding,(2002),6.6,113973,62
548,The Time Machine,(2002),5.9,113330,42
549,Mou gaan dou,(2002),8.1,111173,75
550,The Lord of the Rings: The Two Towers,(2002),8.7,1359908,87
551,Catch Me If You Can,(2002),8.1,725048,75
552,Cidade de Deus,(2002),8.6,648700,79
553,The Pianist,(2002),8.5,648514,85
